woloxer_id,month,amount_of_messages,sentiment
U0KUY2AQZ,2017-05,50,0.35980823640000004
U0KUY2AQZ,2016-07,48,0.1127730757
U0KUY2AQZ,2016-09,113,0.5981041789
U0KUY2AQZ,2017-03,111,0.8784812689
U0KUY2AQZ,2017-01,89,0.6727098823000001
U0KUY2AQZ,2016-11,111,0.3412176669
U0KUY2AQZ,2016-12,72,0.5974186063
U0KUY2AQZ,2016-10,37,0.3790577948
U0KUY2AQZ,2017-06,76,0.83142066
U0KUY2AQZ,2017-04,53,0.5812672973
U0KUY2AQZ,2017-02,149,0.7719159126
U0KUY2AQZ,2016-05,18,0.44785052540000003
U0KUY2AQZ,2016-02,7,0.1306708902
U0KUY2AQZ,2016-04,21,0.2498908937
U0KUY2AQZ,2016-03,6,0.8164706230000001
U0KUY2AQZ,2017-07,38,0.30939829350000003
U0EK9BJR3,2016-09,45,0.7047220469000001
U0EK9BJR3,2016-07,3,0.0440743044
U0EK9BJR3,2016-06,15,0.7389753461
U0EK9BJR3,2016-05,5,0.42962098120000003
U0EK9BJR3,2016-08,3,0.7232179642000001
U0EK9BJR3,2016-04,7,0.3547419906
U0EK9BJR3,2016-01,3,0.8421767354
U0EK9BJR3,2015-12,9,0.6226606369000001
U0EK9BJR3,2017-06,4,0.5627231598
U0EK9BJR3,2016-12,24,0.9960586429
U0EK9BJR3,2016-02,6,0.8943763971
U0EK9BJR3,2017-04,2,0.6636124849
U0EK9BJR3,2016-10,8,0.8646567464
U0EK9BJR3,2016-11,5,0.9690434337
U0EK9BJR3,2017-01,4,0.3316601813
U0EK9BJR3,2016-03,3,0.30191880460000003
U0EK9BJR3,2017-02,6,0.0551546663
U0EK9BJR3,2017-05,2,0.9323214889
U2D6QDMNJ,2017-05,9,0.5401905179000001
U2D6QDMNJ,2017-02,34,0.308386296
U2D6QDMNJ,2017-03,11,0.6437115073
U2D6QDMNJ,2017-04,9,0.6903744936
U2D6QDMNJ,2016-12,11,0.4726032019
U2D6QDMNJ,2016-11,12,0.6383913755
U2D6QDMNJ,2017-06,7,0.6218516827
U2D6QDMNJ,2017-01,12,0.8813101649
U2D6QDMNJ,2016-09,1,0.9815893769
U2D6QDMNJ,2017-07,3,0.3582541347
U0KUYE44Q,2016-06,25,0.0129866954
U0KUYE44Q,2017-02,176,0.1241841838
U0KUYE44Q,2017-03,70,0.4102288485
U0KUYE44Q,2016-11,137,0.4047673047
U0KUYE44Q,2017-04,99,0.7689034343000001
U0KUYE44Q,2017-05,73,0.7547160983000001
U0KUYE44Q,2017-01,104,0.0982895419
U0KUYE44Q,2016-09,132,0.22296527030000002
U0KUYE44Q,2016-10,82,0.2927066088
U0KUYE44Q,2017-07,24,0.0767040253
U0KUYE44Q,2016-08,89,0.5757367015
U0KUYE44Q,2016-12,182,0.1831991673
U0KUYE44Q,2017-06,60,0.34033936260000003
U0KUYE44Q,2016-07,44,0.2426330894
U0KUYE44Q,2016-05,21,0.09363000090000001
U0KUYE44Q,2016-04,18,0.2036201656
U0KUYE44Q,2016-03,4,0.2025027573
U0KUYE44Q,2016-02,4,0.6308693886
U0M7Z0W22,2016-06,67,0.8226293325
U0M7Z0W22,2016-09,28,0.9668101668
U0M7Z0W22,2016-07,38,0.3330553174
U0M7Z0W22,2016-10,69,0.4663201272
U0M7Z0W22,2017-01,52,0.813559413
U0M7Z0W22,2017-03,49,0.9586146474
U0M7Z0W22,2017-05,19,0.9202296138
U0M7Z0W22,2017-04,37,0.6814628839
